name,language code,ssml gender,hertz rate
af-ZA-Standard-A,af-ZA,2,24000
am-ET-Standard-A,am-ET,2,24000
am-ET-Standard-B,am-ET,1,24000
am-ET-Wavenet-A,am-ET,2,24000
am-ET-Wavenet-B,am-ET,1,24000
ar-XA-Standard-A,ar-XA,2,24000
ar-XA-Standard-B,ar-XA,1,24000
ar-XA-Standard-C,ar-XA,1,24000
ar-XA-Standard-D,ar-XA,2,24000
ar-XA-Wavenet-A,ar-XA,2,24000
ar-XA-Wavenet-B,ar-XA,1,24000
ar-XA-Wavenet-C,ar-XA,1,24000
ar-XA-Wavenet-D,ar-XA,2,24000
bg-BG-Standard-A,bg-BG,2,24000
bn-IN-Standard-A,bn-IN,2,24000
bn-IN-Standard-B,bn-IN,1,24000
bn-IN-Standard-C,bn-IN,2,24000
bn-IN-Standard-D,bn-IN,1,24000
bn-IN-Wavenet-A,bn-IN,2,24000
bn-IN-Wavenet-B,bn-IN,1,24000
bn-IN-Wavenet-C,bn-IN,2,24000
bn-IN-Wavenet-D,bn-IN,1,24000
ca-ES-Standard-A,ca-ES,2,24000
cmn-CN-Standard-A,cmn-CN,2,24000
cmn-CN-Standard-B,cmn-CN,1,24000
cmn-CN-Standard-C,cmn-CN,1,24000
cmn-CN-Standard-D,cmn-CN,2,24000
cmn-CN-Wavenet-A,cmn-CN,2,24000
cmn-CN-Wavenet-B,cmn-CN,1,24000
cmn-CN-Wavenet-C,cmn-CN,1,24000
cmn-CN-Wavenet-D,cmn-CN,2,24000
cmn-TW-Standard-A,cmn-TW,2,24000
cmn-TW-Standard-B,cmn-TW,1,24000
cmn-TW-Standard-C,cmn-TW,1,24000
cmn-TW-Wavenet-A,cmn-TW,2,24000
cmn-TW-Wavenet-B,cmn-TW,1,24000
cmn-TW-Wavenet-C,cmn-TW,1,24000
cs-CZ-Standard-A,cs-CZ,2,24000
cs-CZ-Wavenet-A,cs-CZ,2,24000
da-DK-Neural2-D,da-DK,2,24000
da-DK-Standard-A,da-DK,2,24000
da-DK-Standard-C,da-DK,1,24000
da-DK-Standard-D,da-DK,2,24000
da-DK-Standard-E,da-DK,2,24000
da-DK-Wavenet-A,da-DK,2,24000
da-DK-Wavenet-C,da-DK,1,24000
